Student_ID,Reference Number,First Name ,Last Name ,Gender ,Marital Status,Academic Year ,Entry Semester ,Degree Type ,Course/Degree,Level offered,Student Status,current level,Preferred Entry Level,Conditional/ Unconditional ,Conditions,Application Date,Date of Birth,National ID No,Nationality,Mobile Number,Uni_Email Address,Personal Email,Sponsored Students (Yes / No),Name of Company Sponsor,Home Address 1,Home Address 2,Home Address 3,Home Address 4,Student Bursary Details,Bursary Discount %,Disability / Health Issues,Recent Education System,Most Recent Educational Institute,Qualifications,IELTS,Employment History,How did you hear about us ?,Acceptance Letter
10000001,1,Angela,Bradley,F,Married,2017/18,2017 September,MA (Hons),Accountancy & Finance,1,Graduated 2020-21,Graduate,1,Unconditional,,11/06/2017,24/01/1999,20932266036,India,+76 8078673,student10000001@sample.edu,dvasquez@gmail.com,Yes,Coca-Cola Company,64290 Jason Springs,Port Kirstenburgh,India,,,,00 No known disability,Indian CBSE,North Caleb College,Indian CBSE: 85%,7,,LinkedIn,Received
10000002,2,Jacob,Sandoval,M,Single,2017/18,2017 September,MA (Hons),Accountancy & Finance,1,Graduated 2020-21,Graduate,1,Unconditional,,26/05/2017,08/04/1996,12585650756,Pakistan,+72 4335942,student10000002@sample.edu,deannamullen@gmail.com,Yes,BP Global,06782 Jackie Heights,Michellechester,Pakistan,,,,00 No known disability,Pakistani System,Floresbury College,Pakistani Intermediate: 80%,6,,Education Agent,Received
10000003,3,Robin,Graham,F,Single,2017/18,2017 September,MA (Hons),Accountancy & Finance,1,Graduated 2020-21,Graduate,1,Conditional,Completion of foundation year requirements,02/05/2017,04/12/1998,46890615212,Canada,+1 3678638,student10000003@sample.edu,pwright@gmail.com,No,,2598 Jackson Curve Suite 319,New Brian,Canada,,,,00 No known disability,Canadian System,New Nicoleborough College,Canadian High School Diploma: 85% average,,,Outreach Activity: Open Day,Received
10000004,4,Cynthia,Reynolds,F,Married,2017/18,2017 September,MA (Hons),Accountancy & Finance,1,Graduated 2020-21,Graduate,1,Conditional,IELTS score of 6.0 or above,08/07/2017,19/02/1992,24330564473,Jordan,+12 7374122,student10000004@sample.edu,rothchristopher@gmail.com,Yes,Shell International,1556 Theresa Flat Apt. 935,Davidberg,Jordan,,,,00 No known disability,IB,Wardport College,Foundation Year: 75%,6.5,,Facebook,Received
10000005,5,Jane,Grimes,F,Single,2017/18,2017 September,MA (Hons),Accountancy & Finance,1,Graduated 2020-21,Graduate,1,Unconditional,,20/05/2017,01/01/1994,73263716304,Jordan,+69 3094235,student10000005@sample.edu,john63@gmail.com,No,,9206 Freeman Cliff Apt. 571,South Danielside,Jordan,,,,Anxiety,IB,New John College,International Baccalaureate: 35 points,6.5,,Website,Received
10000006,6,Thomas,Reyes,M,Single,2017/18,2017 September,MA (Hons),Accountancy & Finance,3,Graduated 2018-19,Graduate,3,Unconditional,,16/03/2017,08/04/1999,99461611826,United Kingdom,+80 7067228,student10000006@sample.edu,perezbrian@gmail.com,Yes,FedEx Corporation,54719 Bell Key,West Michael,UK,,,,00 No known disability,A-Level,West Jeffreyfurt College,BTEC Extended Diploma: D*D*D*,,,School Visit,Received
10000007,7,William,Anderson,M,Single,2017/18,2017 September,MA (Hons),Accountancy & Finance,1,Graduated 2020-21,Graduate,1,Unconditional,,30/06/2017,01/10/1992,51975008906,Pakistan,+11 4905582,student10000007@sample.edu,adriennelowery@gmail.com,No,,9978 Amber Plain,Porterport,Pakistan,,,,00 No known disability,Pakistani System,Moniquechester College,Pakistani Intermediate: 80%,6.5,,Instagram,Received
10000008,8,Tracey,Hodges,F,Single,2017/18,2017 September,MA (Hons),Accountancy & Finance,2,Graduated 2019-20,Graduate,2,Conditional,Mathematics proficiency test with minimum 60%,24/03/2017,23/04/1992,60827117278,United Kingdom,+21 7210606,student10000008@sample.edu,ianfields@gmail.com,No,,75556 Mitchell Crest,Armstrongfort,UK,,,,00 No known disability,A-Level,Lindaview College,"A-Level: AAB in Biology, Chemistry, Mathematics",,,Website,Received
10000009,9,Wyatt,Wilkins,M,Married,2017/18,2017 September,MA (Hons),Accountancy & Finance,1,Graduated 2020-21,Graduate,1,Unconditional,,02/08/2017,08/07/1992,83749478913,Egypt,+94 5107245,student10000009@sample.edu,wilkinsonterri@gmail.com,No,,2096 Williamson Greens Apt. 349,New Dianeburgh,Egypt,,,,00 No known disability,Foundation Year,Staffordmouth College,International Baccalaureate: 35 points,6.5,,Outreach Activity: Open Day,Received
10000010,10,Joy,Wilson,F,Single,2017/18,2017 September,MA (Hons),Accountancy & Finance,1,Graduated 2020-21,Graduate,1,Conditional,Completion of foundation year requirements,01/07/2017,09/10/1993,42456852025,United Kingdom,+88 6440561,student10000010@sample.edu,janiceblanchard@gmail.com,No,,1707 Michelle Grove,New Matthew,UK,,,,00 No known disability,BTEC,Haleyville College,"A-Level: AAB in Biology, Chemistry, Mathematics",,,University Fair,Received
10000011,11,Jason,Rojas,M,Married,2017/18,2017 September,MA (Hons),Accountancy & Finance,2,Graduated 2019-20,Graduate,2,Unconditional,,29/06/2017,23/03/2000,56407318350,India,+52 5491946,student10000011@sample.edu,vmartin@gmail.com,No,,992 Samantha Haven Suite 890,West Destinyville,India,,,,00 No known disability,Indian ICSE,East Jerry College,Indian CBSE: 85%,6,,Education Agent,Received
10000012,12,Jason,Burton,M,Married,2017/18,2017 September,MA (Hons),Accountancy & Finance,1,Graduated 2020-21,Graduate,1,Unconditional,,25/06/2017,09/06/1994,99827297893,Jordan,+59 3396987,student10000012@sample.edu,michael45@gmail.com,No,,3923 Potter Tunnel,Lake Monicastad,Jordan,,,,00 No known disability,Foundation Year,Port Maureen College,International Baccalaureate: 35 points,6.5,,Instagram,Received
10000013,13,Mary,Floyd,F,Single,2017/18,2017 September,MA (Hons),Accountancy & Finance,1,Graduated 2020-21,Graduate,1,Conditional,Mathematics proficiency test with minimum 60%,26/01/2017,25/04/1998,64045862384,Philippines,+47 4679591,student10000013@sample.edu,kelly39@gmail.com,No,,054 Oconnell Lock Suite 108,Timothymouth,Philippines,,Staff Dependent Bursary,50%,00 No known disability,Foundation Year,East Scott College,International Baccalaureate: 35 points,7,,Family/Friends,Received
10000014,14,Amy,Harrington,F,Single,2017/18,2017 September,MA (Hons),Accountancy & Finance,3,Dropped out,,3,Unconditional,,20/04/2017,03/02/1995,27650808629,Bangladesh,+81 3684052,student10000014@sample.edu,jason09@gmail.com,Yes,IBM Corporation,11595 Pace Lights,Lake Andrea,Bangladesh,,,,00 No known disability,Foundation Year,Garciachester College,Foundation Year: 75%,6.5,,University Fair,Received
10000015,15,Stephen,Swanson,M,Single,2017/18,2017 September,MA (Hons),Accountancy & Finance,1,Graduated 2020-21,Graduate,1,Unconditional,,02/03/2017,12/02/1994,80729735682,United Kingdom,+33 1192619,student10000015@sample.edu,atkinsonstacey@gmail.com,No,,454 Kimberly Valley Suite 875,Williamsonshire,UK,,,,00 No known disability,BTEC,Jacquelinemouth College,BTEC Extended Diploma: D*D*D*,,,Alumni Referral,Received
