Academic_Year,Student_ID,Surname,Forename,Gender,Date_of_Birth,Nationality,username,email,Prog_Yr,Stud_Yr,AIMS_Start,AIMS_ExpEnd,Category,Programme_Name
2023/24,10002849,Howard,Jeremy,M,21/12/1999,United Kingdom,jhoward365,student10002849@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002850,Johnson,Kristi,F,04/01/2003,India,kjohnson707,student10002850@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002851,Williamson,Christian,M,03/08/2002,United States,cwilliamson85,student10002851@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002852,Sanchez,Mary,F,16/10/2001,United Kingdom,msanchez671,student10002852@sample.edu,2,1,2023-09-20,2025-06-30,UG,Accountancy & Finance
2023/24,10002853,Austin,Mark,M,21/05/2000,Philippines,maustin139,student10002853@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002854,Curry,Matthew,M,27/12/1999,India,mcurry494,student10002854@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002855,Fisher,Melinda,F,17/06/2005,Canada,mfisher441,student10002855@sample.edu,2,1,2023-09-20,2025-06-30,UG,Accountancy & Finance
2023/24,10002856,Jensen,Brooke,F,06/05/2006,India,bjensen227,student10002856@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002857,Garcia,Jennifer,F,11/03/2006,India,jgarcia447,student10002857@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002858,Hines,Monique,F,05/12/1999,United Kingdom,mhines851,student10002858@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002859,Carter,Lisa,F,02/03/2001,Canada,lcarter384,student10002859@sample.edu,3,1,2023-09-20,2024-06-30,UG,Accountancy & Finance
2023/24,10002860,Rogers,Dawn,F,14/06/2002,Pakistan,drogers57,student10002860@sample.edu,3,1,2023-09-20,2024-06-30,UG,Accountancy & Finance
2023/24,10002861,Barnes,Anthony,M,10/01/2001,United States,abarnes895,student10002861@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002862,Anderson,Michael,M,21/09/2002,Philippines,manderson725,student10002862@sample.edu,3,1,2023-09-20,2024-06-30,UG,Accountancy & Finance
2023/24,10002863,Oneill,Angel,M,07/09/2005,Bangladesh,aoneill959,student10002863@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002864,Carter,Amy,F,20/02/2004,Bangladesh,acarter362,student10002864@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002865,Ramos,Mallory,F,11/09/2004,India,mramos866,student10002865@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002866,Brown,Alexandra,F,26/11/2001,United Kingdom,abrown160,student10002866@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002867,Frederick,Scott,M,22/05/2002,Egypt,sfrederick867,student10002867@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002868,Anderson,Kimberly,F,18/02/2001,Pakistan,kanderson546,student10002868@sample.edu,3,1,2023-09-20,2024-06-30,UG,Accountancy & Finance
2023/24,10002869,Todd,Paul,M,01/03/2001,Canada,ptodd483,student10002869@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002870,Kerr,Terry,M,10/09/2004,India,tkerr189,student10002870@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002871,Bolton,Erica,F,14/08/2001,Bangladesh,ebolton56,student10002871@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002872,Larson,Jonathan,M,04/03/2001,Canada,jlarson448,student10002872@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002873,Nash,Megan,F,17/03/2003,India,mnash310,student10002873@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002874,Short,Thomas,M,26/04/2003,United States,tshort199,student10002874@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002875,Adams,Debra,F,23/10/1998,United States,dadams932,student10002875@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002876,Alexander,Mary,F,23/09/1998,United States,malexander330,student10002876@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002877,Harris,Bradley,M,25/12/1998,Pakistan,bharris550,student10002877@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002878,Lopez,Valerie,F,15/07/2005,Philippines,vlopez561,student10002878@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002879,Tran,Mark,M,27/02/2005,Canada,mtran381,student10002879@sample.edu,2,1,2023-09-20,2025-06-30,UG,Accountancy & Finance
2023/24,10002880,Savage,Matthew,M,16/01/2004,India,msavage527,student10002880@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002881,Nelson,Ryan,M,23/05/2001,India,rnelson192,student10002881@sample.edu,2,1,2023-09-20,2025-06-30,UG,Accountancy & Finance
2023/24,10002882,Gonzales,Joseph,M,27/03/2001,Canada,jgonzales968,student10002882@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002883,Smith,Richard,M,17/10/1999,Jordan,rsmith605,student10002883@sample.edu,2,1,2023-09-20,2025-06-30,UG,Accountancy & Finance
2023/24,10002884,Welch,Jennifer,F,23/03/2001,India,jwelch89,student10002884@sample.edu,2,1,2023-09-20,2025-06-30,UG,Accountancy & Finance
2023/24,10002885,Massey,Christina,F,24/01/2002,Pakistan,cmassey567,student10002885@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002886,Little,Jennifer,F,05/04/2005,United States,jlittle544,student10002886@sample.edu,3,1,2023-09-20,2024-06-30,UG,Accountancy & Finance
2023/24,10002887,Hunt,Sara,F,08/12/2004,United Kingdom,shunt34,student10002887@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002888,Robertson,Kelly,F,07/03/2002,Jordan,krobertson615,student10002888@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002889,Ortiz,Julie,F,14/02/2004,Canada,jortiz993,student10002889@sample.edu,2,1,2023-09-20,2025-06-30,UG,Accountancy & Finance
2023/24,10002890,Mcintyre,Jeremy,M,01/02/2005,India,jmcintyre413,student10002890@sample.edu,3,1,2023-09-20,2024-06-30,UG,Accountancy & Finance
2023/24,10002891,Rice,Natalie,F,02/07/1999,Philippines,nrice463,student10002891@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002892,Powers,Shari,F,02/02/2003,Egypt,spowers735,student10002892@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002893,Willis,Lisa,F,02/10/1998,Egypt,lwillis725,student10002893@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002894,Williams,Shelly,F,09/02/1999,India,swilliams739,student10002894@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002895,Hendrix,Amanda,F,10/02/2006,United Kingdom,ahendrix197,student10002895@sample.edu,3,1,2023-09-20,2024-06-30,UG,Accountancy & Finance
2023/24,10002896,Hawkins,Clinton,M,26/02/2006,Bangladesh,chawkins602,student10002896@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002897,Lambert,Cynthia,F,07/10/2005,India,clambert687,student10002897@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002898,Ashley,Amanda,F,22/03/2003,Jordan,aashley687,student10002898@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002899,Hansen,Javier,M,03/01/2001,Philippines,jhansen877,student10002899@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002900,Steele,Bradley,M,31/12/2004,Bangladesh,bsteele823,student10002900@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002901,Bowers,Cindy,F,12/10/2002,Pakistan,cbowers879,student10002901@sample.edu,3,1,2023-09-20,2024-06-30,UG,Accountancy & Finance
2023/24,10002902,May,Tracey,F,28/03/2001,United Kingdom,tmay975,student10002902@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002903,Underwood,Tara,F,20/12/1998,Jordan,tunderwood284,student10002903@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002904,Olson,Anthony,M,19/09/2003,Jordan,aolson900,student10002904@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002905,Smith,Patricia,F,27/02/2005,Pakistan,psmith277,student10002905@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002906,Andrews,April,F,07/09/2006,Pakistan,aandrews70,student10002906@sample.edu,1,1,2023-09-20,2026-06-30,UG,Accountancy & Finance
2023/24,10002907,Allen,Lisa,F,06/05/2003,Philippines,lallen42,student10002907@sample.edu,2,1,2023-09-20,2025-06-30,UG,Legal Studies
2023/24,10002908,Branch,David,M,24/01/1998,United States,dbranch274,student10002908@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
2023/24,10002909,Lane,Donald,M,30/04/2005,Philippines,dlane99,student10002909@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
2023/24,10002910,Martinez,Jonathan,M,16/12/1998,Pakistan,jmartinez626,student10002910@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
2023/24,10002911,Sanders,April,F,19/12/2001,Bangladesh,asanders426,student10002911@sample.edu,3,1,2023-09-20,2024-06-30,UG,Legal Studies
2023/24,10002912,Fox,Jordan,M,22/08/2004,Canada,jfox778,student10002912@sample.edu,3,1,2023-09-20,2024-06-30,UG,Legal Studies
2023/24,10002913,Johnson,Taylor,F,27/03/2005,Egypt,tjohnson837,student10002913@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
2023/24,10002914,Osborn,Sara,F,14/07/2001,Egypt,sosborn975,student10002914@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
2023/24,10002915,Carlson,Ryan,M,08/09/2003,Canada,rcarlson764,student10002915@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
2023/24,10002916,Johnson,Laura,F,25/02/2000,Egypt,ljohnson201,student10002916@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
2023/24,10002917,Phillips,Matthew,M,15/02/2001,United Kingdom,mphillips35,student10002917@sample.edu,3,1,2023-09-20,2024-06-30,UG,Legal Studies
2023/24,10002918,Reed,Candace,F,05/09/2005,Egypt,creed905,student10002918@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
2023/24,10002919,Aguilar,Randy,M,23/06/1999,India,raguilar974,student10002919@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
2023/24,10002920,Lopez,Alex,M,24/09/2002,India,alopez276,student10002920@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
2023/24,10002921,Hancock,Erica,F,11/02/2006,United Kingdom,ehancock435,student10002921@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
2023/24,10002922,Daniels,Debra,F,13/02/1999,Canada,ddaniels317,student10002922@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
2023/24,10002923,Palmer,Sarah,F,20/08/2002,Jordan,spalmer740,student10002923@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
2023/24,10002924,Harris,Richard,M,27/11/2002,Canada,rharris678,student10002924@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
2023/24,10002925,Griffin,Kenneth,M,18/04/1999,United States,kgriffin387,student10002925@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
2023/24,10002926,Morrison,Scott,M,28/05/2000,United States,smorrison640,student10002926@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
2023/24,10002927,Smith,Diane,F,28/04/2000,Egypt,dsmith824,student10002927@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
2023/24,10002928,Torres,Kimberly,F,31/08/2005,Bangladesh,ktorres288,student10002928@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
2023/24,10002929,Lopez,Cynthia,F,01/03/2001,Philippines,clopez736,student10002929@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
2023/24,10002930,Dougherty,Larry,M,04/11/1999,United States,ldougherty406,student10002930@sample.edu,1,1,2023-09-20,2026-06-30,UG,Legal Studies
