Academic_Year,Student_ID,Surname,Forename,Gender,Date_of_Birth,Nationality,username,email,Prog_Yr,Stud_Yr,AIMS_Start,AIMS_ExpEnd,Category,Programme_Name
2018/19,10000113,Adams,Brenda,F,20/02/1999,Egypt,badams222,student10000113@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000114,Miller,Randy,M,28/11/2000,India,rmiller721,student10000114@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000115,Goodwin,Corey,M,04/07/1998,Egypt,cgoodwin42,student10000115@sample.edu,3,1,2018-09-20,2019-06-30,UG,Accountancy & Finance
2018/19,10000116,Ellis,Daisy,F,20/10/1998,Bangladesh,dellis964,student10000116@sample.edu,2,1,2018-09-20,2020-06-30,UG,Accountancy & Finance
2018/19,10000117,Rowland,Robert,M,03/10/2001,Pakistan,rrowland809,student10000117@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000118,Hood,Andrew,M,19/11/1995,Canada,ahood512,student10000118@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000119,Lewis,Ryan,M,30/06/1993,United Kingdom,rlewis786,student10000119@sample.edu,3,1,2018-09-20,2019-06-30,UG,Accountancy & Finance
2018/19,10000120,Cooper,Dana,F,22/04/1997,Jordan,dcooper344,student10000120@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000121,Dudley,Kathleen,F,09/04/1996,Egypt,kdudley994,student10000121@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000122,Woods,Devin,M,22/03/1995,Egypt,dwoods847,student10000122@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000123,Harrison,Julie,F,11/08/1997,Bangladesh,jharrison143,student10000123@sample.edu,2,1,2018-09-20,2020-06-30,UG,Accountancy & Finance
2018/19,10000124,Murphy,Pam,F,15/01/2000,United States,pmurphy211,student10000124@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000125,Shields,Austin,M,18/02/2000,Canada,ashields389,student10000125@sample.edu,2,1,2018-09-20,2020-06-30,UG,Accountancy & Finance
2018/19,10000126,Wilson,Penny,F,09/09/1998,Egypt,pwilson693,student10000126@sample.edu,2,1,2018-09-20,2020-06-30,UG,Accountancy & Finance
2018/19,10000127,Wright,Carolyn,F,29/06/1999,Jordan,cwright138,student10000127@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000128,Barrett,Dana,F,12/04/2000,Philippines,dbarrett799,student10000128@sample.edu,2,1,2018-09-20,2020-06-30,UG,Accountancy & Finance
2018/19,10000129,Wilson,Valerie,F,15/03/1997,United Kingdom,vwilson360,student10000129@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000130,Clark,Samuel,M,10/12/1993,Jordan,sclark588,student10000130@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000131,Weaver,Allison,F,22/01/1993,Bangladesh,aweaver546,student10000131@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000132,Phillips,Deborah,F,30/05/1993,Egypt,dphillips740,student10000132@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000133,King,Andrea,F,09/03/2000,Canada,aking503,student10000133@sample.edu,2,1,2018-09-20,2020-06-30,UG,Accountancy & Finance
2018/19,10000134,Dunn,Christopher,M,24/02/2000,Egypt,cdunn940,student10000134@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000135,Morris,Andre,M,09/03/1993,India,amorris646,student10000135@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000136,Nelson,Pamela,F,07/10/1997,Philippines,pnelson235,student10000136@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000137,Mathews,Douglas,M,22/04/1996,United Kingdom,dmathews269,student10000137@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000138,Wilson,Rachel,F,16/09/1997,United States,rwilson43,student10000138@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000139,Gay,Robin,F,03/01/1997,Egypt,rgay236,student10000139@sample.edu,2,1,2018-09-20,2020-06-30,UG,Accountancy & Finance
2018/19,10000140,Kelly,Jacqueline,F,02/05/1995,United Kingdom,jkelly292,student10000140@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000141,Brown,Beth,F,25/06/2001,India,bbrown989,student10000141@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000142,Black,Vanessa,F,09/11/1999,Philippines,vblack664,student10000142@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
2018/19,10000143,Serrano,Maria,F,15/12/1999,India,mserrano990,student10000143@sample.edu,2,1,2018-09-20,2020-06-30,UG,Accountancy & Finance
2018/19,10000144,Smith,Morgan,F,14/12/1993,Egypt,msmith789,student10000144@sample.edu,1,1,2018-09-20,2021-06-30,UG,Accountancy & Finance
